
Host: beboplogin3

Timers On : Fri Oct 13 09:49:31 2023
Timers Off: Fri Oct 13 09:55:35 2023

Wall Time:      363.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :      2.600u      0.200s      0.129w    390 calls
| JK: D                             :      0.117u      0.000s      0.008w    390 calls
| JK: USO2AO                        :      0.050u      0.000s      0.003w    390 calls
| JK: JK                            :      1.867u      0.183s      0.087w    390 calls
| | DFH: compute_JK()               :      1.783u      0.183s      0.080w    390 calls
| | | DFH: Grabbing AOs             :      0.017u      0.033s      0.003w    390 calls
| | | DFH: compute_J                :      0.417u      0.033s      0.023w    390 calls
| | | DFH: compute_K                :      0.800u      0.033s      0.028w    390 calls
| JK: AO2USO                        :      0.067u      0.000s      0.003w    390 calls
HF: Form F                          :      0.083u      0.017s      0.007w    390 calls
HF: Form D                          :      0.117u      0.000s      0.005w    390 calls
HF: DIIS                            :     28.133u      1.783s      1.495w    352 calls
HF: Form C                          :      4.950u      0.300s      0.273w    352 calls
Grad: V T Perturb                   :      1.300u      0.067s      0.069w     28 calls
Grad: S                             :      0.617u      0.017s      0.034w     28 calls
Grad: JK                            :     24.950u      2.150s      1.483w     28 calls
| JKGrad: Amn                       :      6.033u      0.567s      0.329w     28 calls
| | Libint2ERI::Libint2ERI          :      0.667u      0.067s      0.035w     28 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     28 calls
| JKGrad: AB                        :      5.383u      0.267s      0.287w     28 calls
| | Libint2ERI::Libint2ERI          :      1.350u      0.017s      0.074w    336 calls
| JKGrad: UV                        :      0.117u      0.000s      0.005w     28 calls
| JKGrad: ABx                       :      2.717u      0.167s      0.153w     28 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.004w     28 calls
| JKGrad: Amnx                      :      7.300u      0.667s      0.512w     28 calls
| | Libint2ERI::Libint2ERI          :      0.600u      0.033s      0.033w     28 calls
Grad: XC                            :      0.000u      0.000s      0.000w     28 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.050u      0.000s      0.002w      1 calls
Hess: T                             :      0.017u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :     10.850u      0.250s      0.554w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.007w     14 calls
Libint2ERI::Libint2ERI              :      0.133u      0.017s      0.009w     14 calls
JK: D                               :      0.000u      0.000s      0.001w     13 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     13 calls
JK: JK                              :      0.333u      0.000s      0.017w     13 calls
| DFH: compute_JK()                 :      0.317u      0.000s      0.016w     13 calls
| | DFH: Grabbing AOs               :      0.017u      0.000s      0.000w     13 calls
| | DFH: compute_J                  :      0.100u      0.000s      0.005w     13 calls
| | DFH: compute_K                  :      0.167u      0.000s      0.010w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 09:55:50 2023
Timers Off: Fri Oct 13 10:13:32 2023

Wall Time:     1061.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     20.917u      1.083s      1.413w    300 calls
Libint2ERI::Libint2ERI              :     53.917u      5.267s      4.011w   8430 calls
DFH: initialize()                   :     92.250u      8.617s      6.089w    300 calls
DFH: AO Construction                :      5.750u      0.167s      0.310w    300 calls
DFH: AO-Met. Contraction            :      2.300u      0.183s      0.111w    300 calls
HF: Form core H                     :     17.817u      0.783s      0.963w    300 calls
HF: Form S/X                        :      2.500u      0.267s      0.134w    300 calls
HF: Guess                           :    436.400u     39.383s     23.797w    300 calls
SAD Guess                           :    423.167u     38.600s     23.107w    300 calls
HF: Form G                          :     19.650u      1.483s      1.060w   3244 calls
JK: D                               :      1.133u      0.100s      0.067w   3244 calls
JK: USO2AO                          :      0.700u      0.017s      0.028w   3244 calls
JK: JK                              :     13.067u      1.017s      0.709w   3244 calls
DFH: compute_JK()                   :     12.133u      0.967s      0.650w   3244 calls
DFH: Grabbing AOs                   :      0.567u      0.067s      0.022w   3244 calls
DFH: compute_J                      :      3.417u      0.317s      0.185w   3244 calls
DFH: compute_K                      :      4.183u      0.300s      0.227w   3244 calls
JK: AO2USO                          :      0.583u      0.017s      0.021w   3244 calls
HF: Form F                          :      1.417u      0.133s      0.058w   3244 calls
HF: Form D                          :      0.783u      0.050s      0.046w   3244 calls
HF: DIIS                            :    228.083u     14.433s     12.108w   2944 calls
HF: Form C                          :     38.917u      2.350s      2.074w   2944 calls
Grad: V T Perturb                   :     13.083u      0.600s      0.689w    282 calls
Grad: S                             :      6.467u      0.217s      0.346w    282 calls
Grad: JK                            :    247.200u     22.317s     13.620w    282 calls
JKGrad: Amn                         :     63.267u      5.700s      3.438w    282 calls
JKGrad: Awmn                        :      0.017u      0.000s      0.002w    282 calls
JKGrad: AB                          :     54.150u      3.650s      2.899w    282 calls
JKGrad: UV                          :      0.800u      0.133s      0.047w    282 calls
JKGrad: ABx                         :     22.217u      1.117s      1.174w    282 calls
JKGrad: Amnx                        :     73.117u      6.633s      4.114w    282 calls
Grad: XC                            :      0.050u      0.000s      0.002w    282 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     20.917u      1.083s      1.413w    300 calls
| Libint2ERI::Libint2ERI            :      7.567u      0.367s      0.654w    300 calls
DFH: initialize()                   :     92.250u      8.617s      6.089w    300 calls
| Libint2ERI::Libint2ERI            :     19.750u      2.833s      1.924w   3900 calls
| DFH: AO Construction              :      5.750u      0.167s      0.310w    300 calls
| DFH: AO-Met. Contraction          :      2.300u      0.183s      0.111w    300 calls
HF: Form core H                     :     17.817u      0.783s      0.963w    300 calls
HF: Form S/X                        :      2.500u      0.267s      0.134w    300 calls
HF: Guess                           :    436.400u     39.383s     23.797w    300 calls
| SAD Guess                         :    423.167u     38.600s     23.107w    300 calls
HF: Form G                          :     19.650u      1.483s      1.060w   3244 calls
| JK: D                             :      1.133u      0.100s      0.067w   3244 calls
| JK: USO2AO                        :      0.700u      0.017s      0.028w   3244 calls
| JK: JK                            :     13.067u      1.017s      0.709w   3244 calls
| | DFH: compute_JK()               :     12.133u      0.967s      0.650w   3244 calls
| | | DFH: Grabbing AOs             :      0.567u      0.067s      0.022w   3244 calls
| | | DFH: compute_J                :      3.417u      0.317s      0.185w   3244 calls
| | | DFH: compute_K                :      4.183u      0.300s      0.227w   3244 calls
| JK: AO2USO                        :      0.583u      0.017s      0.021w   3244 calls
HF: Form F                          :      1.417u      0.133s      0.058w   3244 calls
HF: Form D                          :      0.783u      0.050s      0.046w   3244 calls
HF: DIIS                            :    228.083u     14.433s     12.108w   2944 calls
HF: Form C                          :     38.917u      2.350s      2.074w   2944 calls
Grad: V T Perturb                   :     13.083u      0.600s      0.689w    282 calls
Grad: S                             :      6.467u      0.217s      0.346w    282 calls
Grad: JK                            :    247.200u     22.317s     13.620w    282 calls
| JKGrad: Amn                       :     63.267u      5.700s      3.438w    282 calls
| | Libint2ERI::Libint2ERI          :      6.250u      0.383s      0.331w    282 calls
| JKGrad: Awmn                      :      0.017u      0.000s      0.002w    282 calls
| JKGrad: AB                        :     54.150u      3.650s      2.899w    282 calls
| | Libint2ERI::Libint2ERI          :     13.683u      1.233s      0.742w   3384 calls
| JKGrad: UV                        :      0.800u      0.133s      0.047w    282 calls
| JKGrad: ABx                       :     22.217u      1.117s      1.174w    282 calls
| | Libint2ERI::Libint2ERI          :      0.500u      0.017s      0.039w    282 calls
| JKGrad: Amnx                      :     73.117u      6.633s      4.114w    282 calls
| | Libint2ERI::Libint2ERI          :      6.167u      0.433s      0.322w    282 calls
Grad: XC                            :      0.050u      0.000s      0.002w    282 calls

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:13:59 2023
Timers Off: Fri Oct 13 10:14:01 2023

Wall Time:        2.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:27:38 2023
Timers Off: Fri Oct 13 10:27:44 2023

Wall Time:        5.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:34:20 2023
Timers Off: Fri Oct 13 10:34:23 2023

Wall Time:        2.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:33:55 2023
Timers Off: Fri Oct 13 10:35:43 2023

Wall Time:      108.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     25.817u      1.517s      1.366w     42 calls
build grid                          :     11.767u      0.617s      0.622w     42 calls
post-process grid                   :     13.883u      0.883s      0.737w     42 calls
DFH: sparsity prep                  :      9.250u      0.517s      0.834w     42 calls
Libint2ERI::Libint2ERI              :     20.533u      1.233s      1.413w   1098 calls
DFH: initialize()                   :     21.000u      1.750s      1.190w     42 calls
DFH: AO Construction                :      1.800u      0.050s      0.091w     42 calls
DFH: AO-Met. Contraction            :      0.517u      0.050s      0.030w     42 calls
HF: Form core H                     :      4.883u      0.350s      0.263w     42 calls
HF: Form S/X                        :      0.683u      0.033s      0.036w     42 calls
HF: Guess                           :     61.983u      4.500s      3.322w     42 calls
SAD Guess                           :     60.033u      4.433s      3.222w     42 calls
HF: Form G                          :    140.300u      2.200s      7.385w    370 calls
RV: Form V                          :    136.933u      1.750s      7.195w    370 calls
Properties                          :     24.744p                         224242 calls
Functional                          :     37.140p                         224242 calls
V_xc                                :     33.557p                         205357 calls
JK: D                               :      0.133u      0.017s      0.010w    370 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w    370 calls
JK: JK                              :      2.183u      0.350s      0.126w    370 calls
DFH: compute_JK()                   :      2.017u      0.333s      0.117w    370 calls
DFH: Grabbing AOs                   :      0.067u      0.000s      0.002w    370 calls
DFH: compute_J                      :      0.567u      0.183s      0.039w    370 calls
DFH: compute_K                      :      0.800u      0.083s      0.042w    370 calls
JK: AO2USO                          :      0.067u      0.000s      0.002w    370 calls
HF: Form F                          :      0.233u      0.017s      0.012w    370 calls
HF: Form D                          :      0.083u      0.000s      0.008w    370 calls
HF: DIIS                            :     31.383u      1.950s      1.685w    328 calls
HF: Form C                          :      6.667u      0.417s      0.341w    328 calls
Grad: V T Perturb                   :      2.850u      0.117s      0.151w     34 calls
Grad: S                             :      1.283u      0.117s      0.069w     34 calls
Grad: JK                            :     60.717u      3.867s      3.426w     34 calls
JKGrad: Amn                         :     23.017u      1.567s      1.227w     34 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     34 calls
JKGrad: AB                          :      6.000u      0.383s      0.321w     34 calls
JKGrad: UV                          :      0.167u      0.000s      0.007w     34 calls
JKGrad: ABx                         :      2.850u      0.250s      0.188w     34 calls
JKGrad: Amnx                        :     25.600u      1.417s      1.509w     34 calls
Grad: XC                            :     32.817u      0.583s      1.669w     34 calls
V_xc gradient                       :      5.034p                          18885 calls

--------------------------------------------------------------------------------------
V: Grid                             :     25.817u      1.517s      1.366w     42 calls
| build grid                        :     11.767u      0.617s      0.622w     42 calls
| post-process grid                 :     13.883u      0.883s      0.737w     42 calls
DFH: sparsity prep                  :      9.250u      0.517s      0.834w     42 calls
| Libint2ERI::Libint2ERI            :      5.900u      0.333s      0.637w     42 calls
DFH: initialize()                   :     21.000u      1.750s      1.190w     42 calls
| Libint2ERI::Libint2ERI            :      5.150u      0.267s      0.270w    546 calls
| DFH: AO Construction              :      1.800u      0.050s      0.091w     42 calls
| DFH: AO-Met. Contraction          :      0.517u      0.050s      0.030w     42 calls
HF: Form core H                     :      4.883u      0.350s      0.263w     42 calls
HF: Form S/X                        :      0.683u      0.033s      0.036w     42 calls
HF: Guess                           :     61.983u      4.500s      3.322w     42 calls
| SAD Guess                         :     60.033u      4.433s      3.222w     42 calls
HF: Form G                          :    140.300u      2.200s      7.385w    370 calls
| RV: Form V                        :    136.933u      1.750s      7.195w    370 calls
| | Properties                      :     15.862p                         205357 calls
| | Functional                      :     34.517p                         205357 calls
| | V_xc                            :     33.557p                         205357 calls
| JK: D                             :      0.133u      0.017s      0.010w    370 calls
| JK: USO2AO                        :      0.017u      0.000s      0.003w    370 calls
| JK: JK                            :      2.183u      0.350s      0.126w    370 calls
| | DFH: compute_JK()               :      2.017u      0.333s      0.117w    370 calls
| | | DFH: Grabbing AOs             :      0.067u      0.000s      0.002w    370 calls
| | | DFH: compute_J                :      0.567u      0.183s      0.039w    370 calls
| | | DFH: compute_K                :      0.800u      0.083s      0.042w    370 calls
| JK: AO2USO                        :      0.067u      0.000s      0.002w    370 calls
HF: Form F                          :      0.233u      0.017s      0.012w    370 calls
HF: Form D                          :      0.083u      0.000s      0.008w    370 calls
HF: DIIS                            :     31.383u      1.950s      1.685w    328 calls
HF: Form C                          :      6.667u      0.417s      0.341w    328 calls
Grad: V T Perturb                   :      2.850u      0.117s      0.151w     34 calls
Grad: S                             :      1.283u      0.117s      0.069w     34 calls
Grad: JK                            :     60.717u      3.867s      3.426w     34 calls
| JKGrad: Amn                       :     23.017u      1.567s      1.227w     34 calls
| | Libint2ERI::Libint2ERI          :      4.683u      0.350s      0.249w     34 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     34 calls
| JKGrad: AB                        :      6.000u      0.383s      0.321w     34 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.050s      0.017w    408 calls
| JKGrad: UV                        :      0.167u      0.000s      0.007w     34 calls
| JKGrad: ABx                       :      2.850u      0.250s      0.188w     34 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.017s      0.002w     34 calls
| JKGrad: Amnx                      :     25.600u      1.417s      1.509w     34 calls
| | Libint2ERI::Libint2ERI          :      4.417u      0.217s      0.239w     34 calls
Grad: XC                            :     32.817u      0.583s      1.669w     34 calls
| Properties                        :      8.882p                          18885 calls
| Functional                        :      2.624p                          18885 calls
| V_xc gradient                     :      5.034p                          18885 calls

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:37:05 2023
Timers Off: Fri Oct 13 10:37:07 2023

Wall Time:        2.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:38:41 2023
Timers Off: Fri Oct 13 10:38:44 2023

Wall Time:        2.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:38:21 2023
Timers Off: Fri Oct 13 10:54:06 2023

Wall Time:      945.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     10.933u      0.667s      0.802w     50 calls
Libint2ERI::Libint2ERI              :    186.350u     14.833s     12.365w   3154 calls
DFH: initialize()                   :     25.017u      2.167s      1.383w     50 calls
DFH: AO Construction                :      2.133u      0.117s      0.112w     50 calls
DFH: AO-Met. Contraction            :      0.767u      0.033s      0.041w     50 calls
HF: Form core H                     :      6.700u      0.433s      0.362w     60 calls
HF: Form S/X                        :      0.950u      0.150s      0.053w     60 calls
HF: Guess                           :     85.033u      6.433s      4.576w     60 calls
SAD Guess                           :     82.483u      6.300s      4.435w     60 calls
HF: Form G                          :     31.150u      2.233s      1.654w    748 calls
JK: D                               :      0.600u      0.083s      0.026w    978 calls
JK: USO2AO                          :      0.117u      0.017s      0.009w    978 calls
JK: JK                              :     31.850u      2.033s      1.697w    978 calls
DFH: compute_JK()                   :      4.417u      0.300s      0.243w    592 calls
DFH: Grabbing AOs                   :      0.100u      0.000s      0.004w    592 calls
DFH: compute_J                      :      1.017u      0.083s      0.052w    592 calls
DFH: compute_K                      :      1.717u      0.100s      0.098w    592 calls
PK computes JK                      :     27.133u      1.717s      1.434w    386 calls
JK: AO2USO                          :      0.117u      0.000s      0.006w    978 calls
HF: Form F                          :      0.417u      0.017s      0.019w    748 calls
HF: Form D                          :      0.333u      0.050s      0.016w    748 calls
HF: DIIS                            :     55.500u      3.783s      2.974w    688 calls
HF: Form C                          :     13.733u      0.617s      0.714w    688 calls
DFMP2 Singles                       :      0.050u      0.000s      0.003w     29 calls
DFMP2 Aia                           :     34.783u      2.367s      1.855w     29 calls
DFMP2 (A|mn)                        :      1.350u      0.017s      0.067w     29 calls
DFMP2 (A|mn)C_mi                    :      0.100u      0.000s      0.007w     29 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w     29 calls
DFMP2 Aia Write                     :      0.167u      0.017s      0.007w     29 calls
DFMP2 Bia                           :      2.250u      0.117s      0.121w      8 calls
DFMP2 Metric                        :      5.317u      0.250s      0.280w     29 calls
DFMP2 Aia Read                      :      0.183u      0.000s      0.011w     29 calls
DFMP2 (ia|A)(A|Q)                   :      0.083u      0.017s      0.003w     29 calls
DFMP2 Bia Write                     :      0.117u      0.000s      0.007w     29 calls
DFMP2 Energy                        :      0.267u      0.017s      0.015w      8 calls
DFMP2 Bia Read                      :      0.017u      0.017s      0.004w     79 calls
DFMP2 iaB                           :      4.883u      0.333s      0.263w     21 calls
DFMP2 (ia|B)(B|Q)                   :      0.033u      0.000s      0.002w     21 calls
DFMP2 Cia Write                     :      0.067u      0.000s      0.005w     21 calls
DFMP2 aiB                           :      0.750u      0.150s      0.045w     21 calls
DFMP2 Tij                           :      0.983u      0.050s      0.057w     21 calls
DFMP2 Cia Read                      :      0.083u      0.000s      0.002w     42 calls
DFMP2 I                             :      0.133u      0.033s      0.008w     42 calls
DFMP2 T2                            :      0.383u      0.000s      0.018w     42 calls
DFMP2 G                             :      0.033u      0.000s      0.003w     21 calls
DFMP2 Pab                           :      0.050u      0.000s      0.002w     21 calls
DFMP2 Gia Write                     :      0.050u      0.000s      0.005w     21 calls
DFMP2 Tab                           :      1.200u      0.117s      0.063w     21 calls
DFMP2 Bai Read                      :      0.033u      0.000s      0.001w     21 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.001w     21 calls
DFMP2 Pij                           :      0.150u      0.000s      0.004w     21 calls
DFMP2 gamma                         :      0.750u      0.083s      0.044w     21 calls
DFMP2 Gia Read                      :      0.067u      0.000s      0.002w     42 calls
DFMP2 g                             :      0.017u      0.000s      0.003w     21 calls
DFMP2 Gia                           :      1.317u      0.233s      0.078w     21 calls
DFMP2 aiG Write                     :      0.200u      0.033s      0.015w     21 calls
DFMP2 AB^x                          :      2.533u      0.200s      0.175w     21 calls
DFMP2 Amn^x                         :     28.667u      1.833s      1.601w     21 calls
DFMP2 L                             :     29.333u      2.533s      1.655w     21 calls
DFMP2 P                             :      0.533u      0.083s      0.033w     21 calls
DFMP2 W                             :      0.600u      0.033s      0.033w     21 calls
DFMP2 Z                             :     20.200u      1.517s      1.085w     21 calls
DFMP2 grad                          :     61.733u      3.883s      3.288w     21 calls
Grad: V T Perturb                   :      2.033u      0.100s      0.107w     21 calls
Grad: S                             :      0.850u      0.000s      0.046w     21 calls
Grad: JK                            :     57.000u      3.517s      3.025w     21 calls
CorrGrad: Amn                       :     23.500u      1.433s      1.248w     21 calls
CorrGrad: AB                        :      4.233u      0.217s      0.221w     21 calls
CorrGrad: UV                        :      0.117u      0.017s      0.010w     21 calls
CorrGrad: ABx                       :      1.283u      0.117s      0.067w     21 calls
CorrGrad: Amnx                      :     26.067u      1.417s      1.375w     21 calls
Total PK formation time             :    108.817u      7.900s      7.905w     31 calls
ccenergy                            :    761.867u     84.867s     42.602w     31 calls
F build                             :     44.750u      3.817s      2.426w    282 calls
Wmbej build                         :     77.033u      7.633s      4.233w    282 calls
C->Wmbej                            :      5.083u      0.650s      0.286w    282 calls
F->Wmbej                            :     44.483u      4.850s      2.472w    282 calls
E->Wmbej                            :     12.933u      1.183s      0.705w    282 calls
X->Wmbej                            :     11.567u      0.683s      0.607w    282 calls
Z                                   :      9.000u      1.067s      0.506w    282 calls
T2 Build                            :    259.250u     28.567s     14.392w    282 calls
BT2                                 :    148.817u     17.383s      8.310w    282 calls
ABCD:new                            :    260.883u     30.633s     14.576w    501 calls
ABCD:S                              :     65.600u      7.183s      3.652w    501 calls
ABCD:A                              :     57.533u      6.533s      3.200w    501 calls
ABCD:axpy                           :    123.300u     15.133s      6.915w    501 calls
FT2                                 :     14.550u      1.933s      0.827w    282 calls
WmbejT2                             :     24.917u      2.867s      1.386w    282 calls
CT2                                 :     34.867u      3.533s      1.926w    282 calls
cchbar                              :     94.867u     11.600s      5.346w     22 calls
cclambda                            :    294.667u     31.967s     16.366w     22 calls
ccdensity                           :    642.900u     85.083s     47.738w     22 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      6.750u      0.383s      0.580w     29 calls
| Libint2ERI::Libint2ERI            :      4.367u      0.250s      0.444w     29 calls
DFH: initialize()                   :     15.150u      1.367s      0.848w     29 calls
| Libint2ERI::Libint2ERI            :      3.267u      0.283s      0.181w    377 calls
| DFH: AO Construction              :      1.217u      0.050s      0.066w     29 calls
| DFH: AO-Met. Contraction          :      0.467u      0.017s      0.023w     29 calls
HF: Form core H                     :      6.700u      0.433s      0.362w     60 calls
HF: Form S/X                        :      0.950u      0.150s      0.053w     60 calls
HF: Guess                           :     85.033u      6.433s      4.576w     60 calls
| SAD Guess                         :     82.483u      6.300s      4.435w     60 calls
HF: Form G                          :     31.150u      2.233s      1.654w    748 calls
| JK: D                             :      0.500u      0.067s      0.021w    748 calls
| JK: USO2AO                        :      0.067u      0.017s      0.006w    748 calls
| JK: JK                            :     29.283u      1.867s      1.559w    748 calls
| | DFH: compute_JK()               :      1.933u      0.133s      0.111w    362 calls
| | | DFH: Grabbing AOs             :      0.033u      0.000s      0.002w    362 calls
| | | DFH: compute_J                :      0.717u      0.067s      0.030w    362 calls
| | | DFH: compute_K                :      0.600u      0.017s      0.040w    362 calls
| | PK computes JK                  :     27.133u      1.717s      1.434w    386 calls
| JK: AO2USO                        :      0.083u      0.000s      0.005w    748 calls
HF: Form F                          :      0.417u      0.017s      0.019w    748 calls
HF: Form D                          :      0.333u      0.050s      0.016w    748 calls
HF: DIIS                            :     55.500u      3.783s      2.974w    688 calls
HF: Form C                          :     13.733u      0.617s      0.714w    688 calls
DFMP2 Singles                       :      0.050u      0.000s      0.003w     29 calls
DFMP2 Aia                           :     34.783u      2.367s      1.855w     29 calls
| Libint2ERI::Libint2ERI            :     29.700u      1.967s      1.585w    348 calls
| DFMP2 (A|mn)                      :      1.350u      0.017s      0.067w     29 calls
| DFMP2 (A|mn)C_mi                  :      0.100u      0.000s      0.007w     29 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w     29 calls
| DFMP2 Aia Write                   :      0.167u      0.017s      0.007w     29 calls
DFMP2 Bia                           :      2.250u      0.117s      0.121w      8 calls
| DFMP2 Metric                      :      1.950u      0.067s      0.103w      8 calls
| | Libint2ERI::Libint2ERI          :      0.067u      0.017s      0.003w     96 calls
| DFMP2 Aia Read                    :      0.050u      0.000s      0.003w      8 calls
| DFMP2 (ia|A)(A|Q)                 :      0.017u      0.017s      0.001w      8 calls
| DFMP2 Bia Write                   :      0.033u      0.000s      0.002w      8 calls
DFMP2 Energy                        :      0.267u      0.017s      0.015w      8 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w     16 calls
DFMP2 iaB                           :      4.883u      0.333s      0.263w     21 calls
| DFMP2 Metric                      :      3.367u      0.183s      0.176w     21 calls
| | Libint2ERI::Libint2ERI          :      0.117u      0.017s      0.009w    252 calls
| DFMP2 Aia Read                    :      0.133u      0.000s      0.008w     21 calls
| DFMP2 (ia|A)(A|Q)                 :      0.067u      0.000s      0.002w     21 calls
| DFMP2 Bia Write                   :      0.083u      0.000s      0.005w     21 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w     21 calls
| DFMP2 (ia|B)(B|Q)                 :      0.033u      0.000s      0.002w     21 calls
| DFMP2 Cia Write                   :      0.067u      0.000s      0.005w     21 calls
DFMP2 aiB                           :      0.750u      0.150s      0.045w     21 calls
DFMP2 Tij                           :      0.983u      0.050s      0.057w     21 calls
| DFMP2 Bia Read                    :      0.017u      0.017s      0.002w     42 calls
| DFMP2 Cia Read                    :      0.033u      0.000s      0.001w     21 calls
| DFMP2 I                           :      0.117u      0.017s      0.004w     21 calls
